k, n, p, q, poverq, eigenvectors, conductance, rand
25, 1000, 0.01, 0.001, 10.0, 1, 1.0, 0.8893149537181488
25, 1000, 0.01, 0.001, 10.0, 2, 0.9222173200794541, 0.9374518727949118
25, 1000, 0.01, 0.001, 10.0, 3, 0.5994593305753438, 0.9752770325213008
25, 1000, 0.01, 0.001, 10.0, 4, 0.6269742209292466, 0.9784819098363935
25, 1000, 0.01, 0.001, 10.0, 5, 0.6472750867027549, 0.9872974970198806
25, 1000, 0.01, 0.001, 10.0, 6, 0.34312659093303055, 0.9976973997359894
25, 1000, 0.01, 0.001, 10.0, 7, 0.338763894928513, 0.9986762798511941
25, 1000, 0.01, 0.001, 10.0, 8, 0.2922870413725346, 0.999156772350894
25, 1000, 0.01, 0.001, 10.0, 9, 0.29225744094333506, 0.9992836375855034
25, 1000, 0.01, 0.001, 10.0, 10, 0.2920513638039677, 0.9994538181527262
25, 1000, 0.01, 0.001, 10.0, 11, 0.29206328845945767, 0.9994397347093884
25, 1000, 0.01, 0.001, 10.0, 12, 0.29203315406208696, 0.9994362116884675
25, 1000, 0.01, 0.001, 10.0, 13, 0.2920221050806688, 0.9994492915716628
25, 1000, 0.01, 0.001, 10.0, 14, 0.29209098303760456, 0.9994323993759752
25, 1000, 0.01, 0.001, 10.0, 15, 0.2919632015650293, 0.9994588529141165
25, 1000, 0.01, 0.001, 10.0, 16, 0.2919774525025691, 0.9994374638985558
25, 1000, 0.01, 0.001, 10.0, 17, 0.2919177710047581, 0.9994176855074203
25, 1000, 0.01, 0.001, 10.0, 18, 0.29169973342499983, 0.9993972501300051
25, 1000, 0.01, 0.001, 10.0, 19, 0.2916170435324125, 0.9993832130885234
25, 1000, 0.01, 0.001, 10.0, 20, 0.29190907501433044, 0.9993398359934396
25, 1000, 0.01, 0.001, 10.0, 21, 0.29163389900295417, 0.9992900874434978
25, 1000, 0.01, 0.001, 10.0, 22, 0.2916191115895152, 0.9992556627065081
25, 1000, 0.01, 0.001, 10.0, 23, 0.29163123419673426, 0.9991473831753271
25, 1000, 0.01, 0.001, 10.0, 24, 0.29189021096734874, 0.9990425943437737
25, 1000, 0.01, 0.001, 10.0, 25, 0.29232231747586124, 0.998817241649666
25, 1000, 0.01, 0.002, 5.0, 1, 1.0, 0.8992088845153807
25, 1000, 0.01, 0.002, 5.0, 2, 0.9196472329903113, 0.941445346453858
25, 1000, 0.01, 0.002, 5.0, 3, 0.6180682219563137, 0.9807643966558661
25, 1000, 0.01, 0.002, 5.0, 4, 0.6916376174746002, 0.980049726149046
25, 1000, 0.01, 0.002, 5.0, 5, 0.5931261940272681, 0.9921177989519581
25, 1000, 0.01, 0.002, 5.0, 6, 0.45049476592444043, 0.9993763907356292
25, 1000, 0.01, 0.002, 5.0, 7, 0.45032994533805965, 0.9992572365294612
25, 1000, 0.01, 0.002, 5.0, 8, 0.45027911621893735, 0.9993434937397495
25, 1000, 0.01, 0.002, 5.0, 9, 0.4503222013275095, 0.9994687499499981
25, 1000, 0.01, 0.002, 5.0, 10, 0.45032129209957905, 0.9996202625705027
25, 1000, 0.01, 0.002, 5.0, 11, 0.45032896662749106, 0.9995088622744909
25, 1000, 0.01, 0.002, 5.0, 12, 0.4502985162906571, 0.9994628988359533
25, 1000, 0.01, 0.002, 5.0, 13, 0.45024810634087087, 0.9994565104204168
25, 1000, 0.01, 0.002, 5.0, 14, 0.45033345782516143, 0.999408041921677
25, 1000, 0.01, 0.002, 5.0, 15, 0.4501554145278705, 0.9993819458378335
25, 1000, 0.01, 0.002, 5.0, 16, 0.4500605454826849, 0.9992041185647424
25, 1000, 0.01, 0.002, 5.0, 17, 0.44992319150154964, 0.999065676547062
25, 1000, 0.01, 0.002, 5.0, 18, 0.44987847365906486, 0.9989352178887156
25, 1000, 0.01, 0.002, 5.0, 19, 0.4497973264236049, 0.9988112791711667
25, 1000, 0.01, 0.002, 5.0, 20, 0.44961256581098186, 0.9984284913796552
25, 1000, 0.01, 0.002, 5.0, 21, 0.4494997514009135, 0.9979666031441257
25, 1000, 0.01, 0.002, 5.0, 22, 0.4492239661754812, 0.9974289061162445
25, 1000, 0.01, 0.002, 5.0, 23, 0.46430344817916297, 0.9966185313012522
25, 1000, 0.01, 0.002, 5.0, 24, 0.483074330391979, 0.995795343173727
25, 1000, 0.01, 0.002, 5.0, 25, 0.47307651393782413, 0.9962069935597423
25, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9991160416249146, 0.9069503388135527
25, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.9027631562633818, 0.9444059483979359
25, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.7444333794695481, 0.9816810090003601
25, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.7642417095414455, 0.9812310009200367
25, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.7256826286095336, 0.9905141053642146
25, 1000, 0.01, 0.003, 3.3333333333333335, 6, 0.5524310697564973, 0.9994037918316732
25, 1000, 0.01, 0.003, 3.3333333333333335, 7, 0.5525451229495444, 0.9991805518620744
25, 1000, 0.01, 0.003, 3.3333333333333335, 8, 0.5524955961903052, 0.9992435399815992
25, 1000, 0.01, 0.003, 3.3333333333333335, 9, 0.552472203698031, 0.9993564136165446
25, 1000, 0.01, 0.003, 3.3333333333333335, 10, 0.5523934103875481, 0.9994828577143087
25, 1000, 0.01, 0.003, 3.3333333333333335, 11, 0.5523288204778083, 0.9992172198887956
25, 1000, 0.01, 0.003, 3.3333333333333335, 12, 0.5782502616092187, 0.9987681632065282
