k, n, p, q, poverq, eigenvectors, conductance, rand
10, 1000, 0.01, 0.001, 10.0, 1, 0.9950061095817986, 0.7984470487048705
10, 1000, 0.01, 0.001, 10.0, 2, 0.7177666060351131, 0.9007864846484649
10, 1000, 0.01, 0.001, 10.0, 3, 0.17147613101881473, 0.9995086388638862
10, 1000, 0.01, 0.001, 10.0, 4, 0.17255490005217303, 0.9987245244524454
10, 1000, 0.01, 0.001, 10.0, 5, 0.1714425451986698, 0.9994966756675667
10, 1000, 0.01, 0.001, 10.0, 6, 0.17145290471152602, 0.9993450805080508
10, 1000, 0.01, 0.001, 10.0, 7, 0.1714471649021093, 0.9994288368836883
10, 1000, 0.01, 0.001, 10.0, 8, 0.17141348358867217, 0.9991656145614561
10, 1000, 0.01, 0.001, 10.0, 9, 0.17136260118786634, 0.9989702810281027
10, 1000, 0.01, 0.001, 10.0, 10, 0.17145987515338157, 0.9986598819881989
10, 1000, 0.01, 0.002, 5.0, 1, 0.9893480638679535, 0.7959451645164516
10, 1000, 0.01, 0.002, 5.0, 2, 0.7448948402647335, 0.899844208420842
10, 1000, 0.01, 0.002, 5.0, 3, 0.29192216333068993, 0.9988987538753875
10, 1000, 0.01, 0.002, 5.0, 4, 0.293985580151152, 0.997403908390839
10, 1000, 0.01, 0.002, 5.0, 5, 0.2916380503664825, 0.998735405540554
10, 1000, 0.01, 0.002, 5.0, 6, 0.29276828448057707, 0.9977307710771075
10, 1000, 0.01, 0.002, 5.0, 7, 0.29137103712587636, 0.9976115371537153
10, 1000, 0.01, 0.002, 5.0, 8, 0.29194683940357635, 0.9955823542354236
10, 1000, 0.01, 0.002, 5.0, 9, 0.29191857674245103, 0.9934255985598561
10, 1000, 0.01, 0.002, 5.0, 10, 0.29420422115856165, 0.9899070067006701
10, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9892861743423971, 0.7942873607360735
10, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.7756743239109243, 0.8963468586858685
10, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.381505468206738, 0.998326098609861
10, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.3876494320056662, 0.9953846144614461
10, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.381252604434428, 0.9976317931793177
10, 1000, 0.01, 0.003, 3.3333333333333335, 6, 0.3854551621783204, 0.994300698069807
10, 1000, 0.01, 0.003, 3.3333333333333335, 7, 0.37982508974696944, 0.9937654865486548
10, 1000, 0.01, 0.003, 3.3333333333333335, 8, 0.38140961134704177, 0.9844277267726772
10, 1000, 0.01, 0.003, 3.3333333333333335, 9, 0.38467225162384644, 0.9758073207320732
10, 1000, 0.01, 0.003, 3.3333333333333335, 10, 0.3877844728964179, 0.9727992259225923
10, 1000, 0.01, 0.004, 2.5, 1, 0.9921306747407173, 0.7952560516051606
10, 1000, 0.01, 0.004, 2.5, 2, 0.7851761207896379, 0.898643804380438
10, 1000, 0.01, 0.004, 2.5, 3, 0.45013300978050175, 0.998258497849785
10, 1000, 0.01, 0.004, 2.5, 4, 0.46102292988523014, 0.9940083668366839
10, 1000, 0.01, 0.004, 2.5, 5, 0.44950342809094684, 0.9970139753975398
10, 1000, 0.01, 0.004, 2.5, 6, 0.45944019024049537, 0.9895642924292429
10, 1000, 0.01, 0.004, 2.5, 7, 0.446289874001757, 0.9876630683068306
10, 1000, 0.01, 0.004, 2.5, 8, 0.4467335976896753, 0.9870913991399141
10, 1000, 0.01, 0.004, 2.5, 9, 0.4476470164139744, 0.985771201120112
10, 1000, 0.01, 0.004, 2.5, 10, 0.4531323909244601, 0.9829593559355935
10, 1000, 0.01, 0.005, 2.0, 1, 0.9908735847243714, 0.7961837123712371
10, 1000, 0.01, 0.005, 2.0, 2, 0.7955648533124233, 0.8982668306830683
10, 1000, 0.01, 0.005, 2.0, 3, 0.5060484366872982, 0.9982066646664667
10, 1000, 0.01, 0.005, 2.0, 4, 0.5159531562536964, 0.993155103510351
10, 1000, 0.01, 0.005, 2.0, 5, 0.5045151722149587, 0.9961809760976099
10, 1000, 0.01, 0.005, 2.0, 6, 0.517489701589313, 0.9833112951295131
10, 1000, 0.01, 0.005, 2.0, 7, 0.4990133110197223, 0.9785695809580958
10, 1000, 0.01, 0.005, 2.0, 8, 0.49854523036529114, 0.9782968176817682
10, 1000, 0.01, 0.005, 2.0, 9, 0.5096825350187901, 0.9724340214021401
10, 1000, 0.01, 0.005, 2.0, 10, 0.5119714167380425, 0.9705845304530453
10, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.9902473012688908, 0.7979372237223723
10, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.8150691818995479, 0.8988255425542555
10, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.5509028692644409, 0.998317803780378
10, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.5638951358303669, 0.9918372717271726
10, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.5495502692014383, 0.9958900270027004
10, 1000, 0.01, 0.006, 1.6666666666666667, 6, 0.5635184238239493, 0.9754287008700869
10, 1000, 0.01, 0.006, 1.6666666666666667, 7, 0.5367518983292439, 0.9650088248824883
10, 1000, 0.01, 0.006, 1.6666666666666667, 8, 0.5522435828134568, 0.9576952895289528
10, 1000, 0.01, 0.006, 1.6666666666666667, 9, 0.5578542732609718, 0.9534094609460946
10, 1000, 0.01, 0.006, 1.6666666666666667, 10, 0.5598878259144644, 0.9498336073607361
10, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.9830623700345058, 0.7999533733373336
10, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.8096779369138162, 0.9029863006300628
10, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.5887563281103317, 0.9984490989098911
10, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.6013745957967347, 0.9910867346734673
10, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.5857798050238631, 0.9954378037803779
10, 1000, 0.01, 0.007, 1.4285714285714286, 6, 0.5937650585225736, 0.9653883688368838
10, 1000, 0.01, 0.007, 1.4285714285714286, 7, 0.566130399156376, 0.9466449824982497
10, 1000, 0.01, 0.007, 1.4285714285714286, 8, 0.5773731967147919, 0.9363135353535353
10, 1000, 0.01, 0.007, 1.4285714285714286, 9, 0.5875772690326441, 0.9277862046204619
10, 1000, 0.01, 0.007, 1.4285714285714286, 10, 0.605265536823753, 0.9152710571057107
10, 1000, 0.01, 0.008, 1.25, 1, 0.9899338775461999, 0.7963918731873186
10, 1000, 0.01, 0.008, 1.25, 2, 0.8325518153173199, 0.898407400740074
10, 1000, 0.01, 0.008, 1.25, 3, 0.6203057247391148, 0.9986917571757177
10, 1000, 0.01, 0.008, 1.25, 4, 0.6356239728736384, 0.9907141954195421
10, 1000, 0.01, 0.008, 1.25, 5, 0.6155980745325497, 0.9952650745074509
10, 1000, 0.01, 0.008, 1.25, 6, 0.6162381686814795, 0.957995877587759
10, 1000, 0.01, 0.008, 1.25, 7, 0.6089127875794758, 0.9339928932893289
10, 1000, 0.01, 0.008, 1.25, 8, 0.6214914665086727, 0.9134381678167817
10, 1000, 0.01, 0.008, 1.25, 9, 0.6257575949549972, 0.9025765096509651
10, 1000, 0.01, 0.008, 1.25, 10, 0.6237388117485476, 0.8928709870987099
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9874757247753072, 0.7981908630863086
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.835421520802277, 0.9034429302930291
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.648284498437736, 0.999022196219622
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.6591538932173419, 0.9905629162916292
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.6438660961508553, 0.995480708070807
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 6, 0.645145586503207, 0.968114707470747
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 7, 0.6377704848994902, 0.9335070847084708
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 8, 0.6358814761716433, 0.9162103150315032
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 9, 0.6350737142158478, 0.9009464006400639
10, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 10, 0.6259739039837435, 0.8929710471047105
10, 1000, 0.01, 0.01, 1.0, 1, 0.9878850876257577, 0.8003228082808281
10, 1000, 0.01, 0.01, 1.0, 2, 0.846258838177477, 0.9037090629062906
10, 1000, 0.01, 0.01, 1.0, 3, 0.6711498744910847, 0.9990380338033804
10, 1000, 0.01, 0.01, 1.0, 4, 0.6834607847639769, 0.9906319751975199
10, 1000, 0.01, 0.01, 1.0, 5, 0.6665133611879271, 0.9953551395139513
10, 1000, 0.01, 0.01, 1.0, 6, 0.6632406734583344, 0.9619893689368937
10, 1000, 0.01, 0.01, 1.0, 7, 0.6659044591050971, 0.9391953155315532
10, 1000, 0.01, 0.01, 1.0, 8, 0.6448920413306544, 0.910950587058706
10, 1000, 0.01, 0.01, 1.0, 9, 0.6433207914765539, 0.9000896289628963
10, 1000, 0.01, 0.01, 1.0, 10, 0.6464940278422127, 0.8913615421542153
